創世記 1 1| 源起頭上帝創造天kap地。
尼希米記 9 5| 利未人Iâ-su-a、Kah-bia̍t、Pa-nî、Hap-sa-nî、Sī-lī-pí、O-tē-ngá、Sī-pa-nî、Pì-tha-hi-ngá，講，Lín tio̍h khiā起來o-ló耶和華lín ê上帝，tùi永遠到永遠。耶和華ah，你榮光ê名是應該o-ló ê，pôaⁿ過一切ê稱呼o-ló。
尼希米記 9 6| 你，獨獨你，是耶和華；你創造天，kap chiah-ê天ê天，kap天頂ê萬軍，地kap地上ê萬物，海kap海中ê萬物；這一切lóng是你所保存ê；天軍也敬拜你。
尼希米記 9 7| 耶和華ah，你是上帝，bat揀選亞伯蘭，chhōa伊出Ka-le̍k-tí ê Ngô͘-jíⁿ，賞賜伊名叫亞伯拉罕。
尼希米記 9 8| 你看伊ê心盡忠tī你ê面前，就kap伊立約，應允將迦南人、Hek人、A-mô͘-lī人、Pí-lī-sé人、Iâ-pò͘-su人、Kek-ka-sat人ê地hō͘伊ê後裔，koh有應驗你ê話；因為你是公義ê。
尼希米記 9 9| 你bat看見阮ê列祖tī埃及所受ê困苦，聽in tī紅海邊ê哀求，
尼希米記 9 10| 就行神跡奇事，責罰法老kap伊ê眾人臣，以及伊國內ê眾百姓；因為你知in驕傲款待阮ê列祖，你就為家己得tio̍h名聲，親像今á日一樣。
尼希米記 9 11| 你tī in ê面前分開海，hō͘ in tùi海中行乾地過去，追jip in ê，你hiat in tī深海，親像hiat石頭tī大水中。
尼希米記 9 12| 又koh日時你用雲柱chhōa in，暝時你用火柱照光in所行ê路。
尼希米記 9 13| 你也降臨tī西奈山，tùi天裡kap in講話，賞賜in正直ê法度，真實ê法度，好ê律例kap誡命；
尼希米記 9 14| koh hō͘ in知你安歇ê聖日，也託你ê奴僕摩西用誡命、律例、法度，命令in；
尼希米記 9 15| 為tio̍h in iau，就tùi天賞賜米糧，為tio̍h in嘴乾，就tùi石磐出水，koh命令in去承接你所chiù-chōa beh hō͘ in ê地。
尼希米記 9 16| 總是in kap阮ê列祖行tāi-chì驕傲，硬in ê頷頸，無聽thàn你ê誡命，
尼希米記 9 17| m̄肯順thàn，也無記念你tī in中間所行ê奇事，竟然硬in ê頷頸，tī悖逆中家己設立首領，beh oat tò去in做奴才ê地。總是你是歡喜赦免人，有恩典、憐憫，無快快受氣，有滿滿慈愛ê上帝；也無放sak in。
尼希米記 9 18| In雖然鑄一隻牛á，koh講，這是你ê上帝bat chhōa你出埃及ê，án-ni大大激動受氣；
尼希米記 9 19| 你iáu-kú大施憐憫，無放sak in tī曠野；日時，雲柱無離開in，chhōa in行路；暝時，火柱也無離開in，照光in kap in所tio̍h行ê路。
尼希米記 9 20| 你也賞賜你好ê神來教示in，你ê má-ná猶原hō͘ in食無soah，為tio̍h in嘴乾，賞賜in水。
尼希米記 9 21| Tī曠野四十年，你養飼in；in就無欠缺一項，in ê衫無破，in ê腳無phòng-phā。
尼希米記 9 22| 你將列邦kap hiah-ê百姓hō͘ in，分派in tī ta̍k角頭，in就得tio̍h Se-hông ê地，Hi-si̍t-pún王ê地，kap Pa-san王Go̍k ê地。
尼希米記 9 23| 你加添in ê kiáⁿ孫親像天星ê罪，chhōa in到hit-ê地，就是你kā in ê列祖講，in beh入去承接ê。
尼希米記 9 24| Án-ni，in ê kiáⁿ孫入去承接hit-ê地，你tī in ê面前制壓hit所在khiā起ê百姓，就是迦南人，將in kap in ê君王，kap hit所在ê百姓，lóng交tī in ê手，hō͘ in chhut-chāi意思來款待in。
尼希米記 9 25| In取堅固ê城，肥ê土地，得tio̍h充滿ta̍k樣好物ê厝宅，開便便ê水井，葡萄園、橄欖園，果子樹chōe-chōe；in得tio̍h食飽，身體肥；因為你ê大恩心內快樂。
尼希米記 9 26| 總是in m̄順thàn，竟然悖逆你，將你ê律法hiat tī ka-chiah後；你ê先知勸解in，beh hō͘ in歸向你，in就thâi死in；大大激動受氣。
尼希米記 9 27| 所以你交in tī對敵ê手，受in ê苦楚；in tú-tio̍h苦難ê時哀求你，你就tùi天àⁿ落聽，照你ê大憐憫，hō͘ in有拯救ê人，救in脫離對敵ê手。
尼希米記 9 28| 總是in得tio̍h平安了後，koh tī你ê面前行pháiⁿ；所以你放sak in tī對敵ê手，hō͘對敵管轄in；in oa̍t倒tńg哀求你ê時，你猶原tùi天àⁿ落聽，ta̍uh-ta̍uh照你ê憐憫拯救in；
尼希米記 9 29| koh勸解in，ài beh引chhōa in歸向你ê律法；總是in行tāi-chì驕傲，m̄聽thàn你ê誡命，干犯你hiah-ê法度，(人若行伊，beh對伊得tio̍h活ê，) oa̍t-tńg肩頭，硬頷頸，m̄肯聽thàn。
尼希米記 9 30| 總是你chōe-chōe年寬容in，koh用你ê神託你hiah-ê先知來對in做干證，in猶原m̄聽thàn；所以你將in交tī列國ê百姓ê手。
尼希米記 9 31| 總是你tùi你ê大憐憫，無一盡滅in，也無放sak in；因為你是有恩典，有憐憫ê上帝。
尼希米記 9 32| Taⁿ阮ê上帝ah，你是至大，有權能，thang驚畏，守約，施慈愛ê上帝；阮ê君王、首領、祭司、先知，列祖kap你ê眾百姓，tùi亞述列王ê時到今á日所tú-tio̍h一切ê苦難，求你莫得掠做小khóa。
尼希米記 9 33| 總是見若阮所tú-tio̍h-ê，你是公義；因為你所行ê是真實，阮所行ê是pháiⁿ。
尼希米記 9 34| 阮ê君王、首領、祭司、列祖，lóng無遵守你ê律法，m̄聽thàn你ê誡命，kap你ê干證，就是你對in所干證ê話。
尼希米記 9 35| In tī in ê本國，tī你賞賜in大福氣，kap你tī in面前所賞賜闊大肥súi ê地，無服事你，也無oa̍t-tńg離開in ê pháiⁿ所行。
尼希米記 9 36| 阮今á日做奴僕；你所賞賜阮列祖ê地，thang食伊ê果子，以及好ê物，看ah，阮tī chit-ê地做奴僕。
尼希米記 9 37| Chit-ê地出chōe-chōe物，歸tī列王，就是你因為阮ê罪，你所設立來管轄阮ê，in chhut-chāi意思管轄阮ê身軀kap阮ê cheng-siⁿ；阮tú-tio̍h大患難。
尼希米記 9 38| 因為這一切ê事，阮立確實ê約，寫明伊；阮ê首領，利未人，kap祭司，lóng蓋印。
尼希米記 10 1| 蓋印ê，是Hap-ka-lī-a ê kiáⁿ總督尼希米，kap Se-tí-ka；
尼希米記 10 2| Se-lâi-ngá、 A-sat-lī-ngá、耶利米；
尼希米記 10 3| Pa-si-hō͘-jíⁿ、A-má-lī-ngá、Má-ki-ngá；
尼希米記 10 4| Hap-tu̍t、Sī-pa-nî、Má-lo̍k；
尼希米記 10 5| Hap-lîm、Bí-lī-boa̍t、Gô-pa-tí-a；
尼希米記 10 6| 但以理、Kūn-tùn、Pa-lio̍k；
尼希米記 10 7| Bí-su-lân、A-pí-ngá、Bí-ngá-bîn；
尼希米記 10 8| Má-se-a、Phek-kai、Sī-má-ngá；頂面chiah-ê是祭司。
尼希米記 10 9| Koh有利未人；就是A-sàn-nî ê kiáⁿ Iâ-su-a，Hi-ná-ta̍t ê kiáⁿ Pin-lōe、Kah-bia̍t；
尼希米記 10 10| iáu有in ê兄弟Sī-pa-nî、Hô-tē-ngá、Ki-lī-tha、Pí-lâi-ngá、哈蘭；
尼希米記 10 11| Bí-ka、Lī-ha̍p、Hap-sa-pí-ngá；
尼希米記 10 12| Sat-khek、Sī-lī-pí、Sī-pa-nî；
尼希米記 10 13| Hô-tē-ngá、Pa-nî、Pí-nî-lô͘。
尼希米記 10 14| Koh有百姓ê頭人；就是Pa-lio̍k、Pa-hap-mô͘-ap、Í-lân、Sat-thó͘、Pa-nî；
尼希米記 10 15| Pò͘-nî、Ap-kap、Pí-pài；
尼希米記 10 16| A-to-nî-ngá、Pí-kek-óa-i、A-teng；
尼希米記 10 17| A-te̍k、Hi-se-ka、Ap-sok；
尼希米記 10 18| Hô-tē-ngá、Hap-sūn、Pí-sài；
尼希米記 10 19| Hap-la̍h、A-ná-tu̍t、Nî-pài；
尼希米記 10 20| Boat-pí-ap、Bí-su-lân、Hi-sek；
尼希米記 10 21| Bí-sī-sat-pia̍t、Sat-tok、Ap-tō͘-a；
尼希米記 10 22| Pí-la̍h-thê、哈蘭、A-nāi-ngá；
尼希米記 10 23| Hô-sè-a、Hap-ná-nî-ngá、Hap-su̍t；
尼希米記 10 24| Hap-lô-hek、Pí-lī-hap、Sok-pek；
尼希米記 10 25| Lī-hông、Hap-sa-ná、Má-se-ngá；
尼希米記 10 26| A-hi-ngá、哈蘭、A-lân；
尼希米記 10 27| Má-lo̍k、Hap-lîm、Pa-ná。
尼希米記 10 28| 其餘ê百姓，祭司，利未人，顧門ê，唱歌ê，Nî-thê-lêng，以及一切kap列邦ê百姓隔開來歸服上帝ê律法ê，kap in ê bó͘，in ê kiáⁿ，in ê cha-bó͘-kiáⁿ，見能曉得能明白ê；
尼希米記 10 29| lóng結聯in ê兄弟in ê貴族，咒詛chiù-chōa beh遵thàn上帝ê律法，就是上帝ê奴僕摩西所傳受ê，執守遵thàn耶和華咱ê主一切誡命法度，律例；
尼希米記 10 30| 也無beh將阮ê cha-bó͘-kiáⁿ配hō͘ chit所在ê百姓，也無beh為阮ê kiáⁿ娶in ê cha-bó͘-kiáⁿ；
尼希米記 10 31| Chit所在ê百姓，若tī安歇日帶貨物á是五穀來賣，阮tī安歇日á是聖日，阮無beh kā in買；到第七年無beh種作；見若欠阮ê無beh kā伊討。
尼希米記 10 32| 阮koh為家己定tio̍h例，ta̍k年ta̍k人tio̍h納sià-khek-le̍k ê三份一，做阮ê上帝殿ê路用；
尼希米記 10 33| 就是為tio̍h排列ê餅，kap常常獻ê素祭，kap常常獻ê燒祭，kap安歇日，月ê初一，kap節期所獻ê，kap聖ê物，以及贖罪ê祭，就是為以色列人贖罪ê，以及阮上帝殿內一切ê路用。
尼希米記 10 34| 阮chiah-ê祭司，利未人，kap百姓liam-khau，照阮ê宗族，tī ta̍k年定tio̍h ê時，帶獻祭ê柴到阮上帝ê殿，燒tī耶和華阮上帝ê壇，照律法所記載ê；
尼希米記 10 35| koh ta̍k年將阮地上起頭熟ê土產，kap ta̍k號樹起頭熟ê果子，帶到耶和華ê殿；
尼希米記 10 36| koh照律法所記載，將阮ê kiáⁿ kap cheng-siⁿ起頭生ê，以及牛群羊群起頭生ê，帶到阮上帝ê殿，到阮上帝ê殿內teh服事ê祭司；
尼希米記 10 37| 也將阮起頭出ê麥粉，以及阮ê舉祭ê禮物，kap ta̍k樣樹ê果子、新酒，kap油，帶hō͘祭司，收入tī阮上帝ê殿ê庫房；將阮地上所收成ê，十份一hō͘利未人，因為利未人tī阮一切出土產ê城，得tio̍h十份一。
尼希米記 10 38| 利未人取十份一ê時，亞倫ê kiáⁿ孫中ê祭司tio̍h有一個kap利未人tī-teh；利未人也tio̍h將十份一ê十份一帶到阮上帝ê殿，到房間，收入府庫。
尼希米記 10 39| 因為以色列人kap利未人，tio̍h用in舉祭ê五穀、新酒，kap油，帶到收勸聖所ê器具ê房間，就是擔當職ê祭司，顧門ê，唱歌ê，所tiàm ê房間；án-ni阮就無beh放sak阮上帝ê殿。
尼希米記 11 1| 百姓hiah-ê首領tiàm tī耶路撒冷；其餘ê百姓liam-khau，每十人中hō͘一人來tiàm tī聖城耶路撒冷，hit九個tiàm tī別ê城。
尼希米記 11 2| 見若家己甘願來tiàm tī耶路撒冷ê，百姓lóng kā in祝福。
尼希米記 11 3| 以色列人，祭司，利未人，Nî-thê-lêng，kap所羅門奴僕ê後裔，lóng tiàm tī猶大hiah-ê城，ta̍k-ê tiàm tī in ê業，in ê城；本省ê頭人，tiàm tī耶路撒冷ê，記tī下面。
尼希米記 11 4| 猶大ê kiáⁿ孫，kap便雅憫ê kiáⁿ孫，有ê tiàm tī耶路撒冷。屬猶大ê kiáⁿ孫；Hoat-le̍k-su ê後裔，O͘-se-ngá ê kiáⁿ A-tha-ngá，O͘-se-ngá是Sat-ka-lī-ngá ê kiáⁿ，Sat-ka-lī-ngá是A-má-lī-ngá ê kiáⁿ，A-má-lī-ngá是Sī-hoat-thê-ngá ê kiáⁿ，Sī-hoat-thê-ngá是Má-le̍k-lia̍t ê kiáⁿ；
尼希米記 11 5| koh有Pa-lio̍k ê kiáⁿ Má-se-ngá，Pa-lio̍k是Kok-hô-se ê kiáⁿ，Kok-hô-se是Hap-sài-ngá ê kiáⁿ，Hap-sài-ngá是A-tāi-ngá ê kiáⁿ，A-tāi-ngá是Iok-ngá-li̍p ê kiáⁿ，Iok-ngá-li̍p是Sat-ka-lī-ngá ê kiáⁿ，Sat-ka-lī-ngá是Sī-lô人/nî ê kiáⁿ。
尼希米記 11 6| Hoat-le̍k-su ê kiáⁿ孫tiàm tī耶路撒冷ê，共有四百六十八個勇士。
尼希米記 11 7| 屬便雅憫kiáⁿ孫ê；有Bí-su-lân ê kiáⁿ Sat-lō͘，Bí-su-lân是Iok-ia̍p ê kiáⁿ，Iok-ia̍p是Pí-tāi-ngá ê kiáⁿ，Pí-tāi-ngá是Ko-nāi-ngá ê kiáⁿ，Ko-nāi-ngá是Má-se-ngá ê kiáⁿ，Má-se-ngá是Í-thiat ê kiáⁿ，Í-thiat是Iâ-sai-a ê kiáⁿ。
尼希米記 11 8| 伊ê tè後有Ka-pài，Sat-lâi，共九百二十八人。
尼希米記 11 9| Sè-ki-lī ê kiáⁿ約珥是in ê官長；Hap-se-lô͘-a ê kiáⁿ猶大做hit-ê城ê副官。
尼希米記 11 10| 屬祭司ê有Iok-ngá-li̍p ê kiáⁿ Iâ-tāi-ngá、Ngá-kun；
尼希米記 11 11| iáu有管理上帝ê殿ê Se-lâi-ngá，Se-lâi-ngá是Hi-le̍k-ka ê kiáⁿ，Hi-le̍k-ka是Bí-su-lân ê kiáⁿ，Bí-su-lân是Sat-tok ê kiáⁿ，Sat-tok是Bí-la̍h-約ê kiáⁿ，Bí-la̍h-iok是A-hi-tu̍t ê kiáⁿ；
尼希米記 11 12| iáu有in ê兄弟tī殿內擔當職ê，共八百二十二人；koh有Iâ-lô-hán ê kiáⁿ A-tāi-ngá，Iâ-lô-hán是Pí-la̍h-lī ê kiáⁿ，Pí-la̍h-lī是Àm-sé ê kiáⁿ，Àm-sé是撒迦利亞ê kiáⁿ，撒迦利亞是Pa-si-hō͘-jíⁿ ê kiáⁿ，Pa-si-hō͘-jíⁿ是Má-ki-ngá ê kiáⁿ；
尼希米記 11 13| iáu有伊ê兄弟做族長ê，兩百四十二人；koh有A-sat-lia̍t ê kiáⁿ A-má-sòe ，A-sat-lia̍t是A-hap-sài ê kiáⁿ，A-hap-sài是Bí-si̍t-lī-boa̍t ê kiáⁿ，Bí-si̍t-lī-boa̍t是Im-be̍k ê kiáⁿ；
尼希米記 11 14| iáu有in ê兄弟大權能ê勇士，共一百二十八人；Hap-ki-to-lîm ê kiáⁿ Sat-pa-tē-gia̍p是in ê官長。
尼希米記 11 15| 利未人中，有Hap-su̍t ê kiáⁿ Sī-má-ngá，Hap-su̍t是Ap-lī-kam ê kiáⁿ，Ap-lī-kam是Hap-sa-pí-ngá ê kiáⁿ，Hap-sa-pí-ngá是Pò͘-nî ê kiáⁿ；
尼希米記 11 16| koh有利未人ê頭人，Sa-pí-thài kap Iok-sat-poa̍t，管理上帝殿ê外事。
尼希米記 11 17| Tī祈禱感謝chhōa頭是Bí-ka ê kiáⁿ Má-tha-nî，Bí-ka是Sat-tí ê kiáⁿ，Sat-tí是A-sat ê kiáⁿ；koh有Má-tha-nî兄弟；koh有Pat-pò͘-ka tī伊ê兄弟中做第二個；iáu有Sa-bó͘-a ê kiáⁿ Ap-tāi，Sa-bó͘-a是Ka-la̍h ê kiáⁿ，Ka-la̍h是Iâ-tō͘-tùn ê kiáⁿ。
尼希米記 11 18| Tī聖城中ê利未人，共兩百八十-四人。
尼希米記 11 19| 顧門ê A-kok，kap Ta̍t-bûn，kap in ê兄弟teh守門ê，共一百七十二人。
尼希米記 11 20| 其餘ê以色列人，祭司，利未人，tiàm tī猶大ta̍k-ê城，ta̍k人tī in ê業ê地。
尼希米記 11 21| 總是Nî-thê-lêng tiàm tī Gô-húi-le̍k；Se-hap kap Ki-su-phàⁿ做Nî-thê-lêng ê頭。
尼希米記 11 22| Bí-ka ê元孫，Má-tāi-nî ê曾孫，Hap-sa-pì ê孫，Pa-nî ê kiáⁿ O͘-se，tī耶路撒冷管利未人，伊是唱歌ê A-sat ê kiáⁿ孫，管理上帝殿ê事務。
尼希米記 11 23| 因為王為tio̍h in來出命令，ta̍k日有定tio̍h ê份額供給hiah-ê唱歌ê人。
尼希米記 11 24| 猶大ê kiáⁿ，謝拉 ê kiáⁿ孫，Bí-sī-sat-pia̍t ê kiáⁿ Pí-tha-hi-ngá，tī王ê部下辨理猶大百姓一切ê事。
尼希米記 11 25| 論到hiah-ê鄉社kap in ê田地，有猶大人tiàm tī Ki-lia̍t-a-pa kap伊ê鄉社，Tí-pún kap伊ê鄉社，Í-pa-kah-siat kap伊ê鄉社；
尼希米記 11 26| koh tī Iâ-su-a、Mô͘-la̍h-tāi、Pek-phàⁿ-lia̍t；
尼希米記 11 27| Hap-sat-su-a、別是巴kap伊ê鄉社；
尼希米記 11 28| koh tī Sé-kek-la̍h、Bí-ko-ná kap伊ê鄉社；
尼希米記 11 29| koh tī Im-lîm-bûn、Só-la̍h、Iâ-boa̍t，
尼希米記 11 30| Sat-lô-a、A-tō͘-lân kap in ê鄉社，拉結kap伊ê田地，A-se-ka kap伊ê鄉社。In所tiàm ê地方，是tùi Pia̍t-si-pa到Him-lùn ê山谷。
尼希米記 11 31| 便雅憫人tùi Ka-pa 起，tiàm tī Bi̍t-boat、A-ngá、Pek-te̍k-lī，kap伊ê鄉社；
尼希米記 11 32| A-ná-tu̍t、Lô-pek、A-lân-ngá；
尼希米記 11 33| Hā-só、La̍h-má、Ki-tha-im；
尼希米記 11 34| Hap-tia̍p、Sé-phian、Nî-pat-la̍h；
尼希米記 11 35| 羅得、O-lô，工匠ê山谷。
尼希米記 11 36| 利未人ê中間，有kúi-nā班tiàm tī猶大ê ，taⁿ歸tī便雅憫。
尼希米記 12 1| Kap Sat-la̍h-thiat ê kiáⁿ Só͘-lô-pa-pek、kap Iâ-su-a，同上來ê祭司kap利未人記tī下底；Se-lâi-ngá、耶利米、Í-su-la̍h；
尼希米記 12 2| A-má-lī-ngá、Má-lo̍k、Hap-tu̍t；
尼希米記 12 3| Sī-ka-nî、Lī-hông、Bí-lī-boa̍t；
尼希米記 12 4| E̍k-to、Kūn-tùn、A-pí-ngá；
尼希米記 12 5| Bí-ngá-bîn、Má-tí-ngá、Phek-ka；
尼希米記 12 6| Sī-má-ngá、Iok-ngá-li̍p、Iâ-tāi-ngá；
尼希米記 12 7| Sat-lō͘、A-bo̍k、Hi-le̍k-ka、Iâ-tāi-ngá。Chiah-ê人tī Iâ-su-a ê時做祭司kap in兄弟ê頭。
尼希米記 12 8| 利未人Iâ-su-a、Pin-lōe、Kah-bia̍t、Sī-lī-pí、猶大、Má-tha-nî；chit-ê Má-tha-nî kap伊ê兄弟管理o-ló感謝ê事。
尼希米記 12 9| In ê兄弟Pat-pò͘-ka kap O͘-nî，照in ê班列，kap in相對。
尼希米記 12 10| Iâ-su-a生Iok-ngá-kim，Iok-ngá-kim生Í-lī-a-si̍t，Í-lī-a-si̍t生Iâ-hô-iâ-tāi，
尼希米記 12 11| Iâ-hô-iâ-tāi生約拿單，約拿單siⁿ Ap-tō͘-a。
尼希米記 12 12| Tī Iok-ngá-kim ê時，祭司做族長ê，Se-lâi-ngá族有Bí-la̍h-ngá；耶利米族，有Hap-ná-nî-ngá；
尼希米記 12 13| Í-su-la̍h族有Bí-su-lân；A-má-lī-ngá族，有Iok-hap-lân；
尼希米記 12 14| Bí-lī-kó͘族，有約拿單；Sī-pa-nî族，有約瑟；
尼希米記 12 15| Hap-lîm族，有Ap-ná；Bí-la̍h-約族，有Hi-le̍k-khái；
尼希米記 12 16| E̍k-to族，有撒迦利亞；Kūn-tùn族，有Bí-su-lân；
尼希米記 12 17| A-pí-ngá族，有Sè-ki-lī；Bí-ná-bîn族，Mô͘-a-tí族，有Pí-le̍k-thài；
尼希米記 12 18| Phek-ka族，有Sa-bó͘-a；Sī-má-ngá族，有約拿單；
尼希米記 12 19| Iok-ngá-li̍p族，有Má-te̍k-nái；Iâ-tāi-ngá族，有O͘-se；
尼希米記 12 20| Sat-lâi族，有Ka-lâi；A-bo̍k族，有Hi-pek；
尼希米記 12 21| Hi-le̍k-ka族，有Hap-sa-pí-ngá；Iâ-tāi-ngá族，有Ná-thán-gia̍p。
尼希米記 12 22| 論到利未人，當Í-lī-a-si̍t、Iâ-hô-iâ-tāi、Iok-hap-lân、Ap-tō͘-a ê時，in ê族長lóng有記名，祭司也是án-ni，直到波斯王Tāi-lī-o͘ ê時。
尼希米記 12 23| 利未人做族長ê，記tī歷代ê冊，到Í-lī-a-si̍t ê kiáⁿ Iok-hap-lân ê時。
尼希米記 12 24| 利未人族長Hap-se-pí-ngá、Sī-lī-pí、Kah-bia̍t ê kiáⁿ Iâ-su-a，kap in ê兄弟相對，一班一班相向日ǹg,teh o-ló感謝，照上帝ê奴僕大衛所命令ê。
尼希米記 12 25| Má-tha-nî、Pat-pò͘-ka、Gô-pa-tí-a、Bí-su-lân、Ta̍t-bûn、A-kok，是顧門ê，就是顧守城門ê庫房。
尼希米記 12 26| Chiah-ê lóng是tī Iok-sat-ta̍t ê孫Iâ-su-a ê kiáⁿ Iok-ngá-kim ê時，kap總督尼希米 kap祭司經學士Í-su-la̍h ê時。
尼希米記 12 27| 當耶路撒冷城牆奉獻ê時，in去利未人所tiàm ê所在chhē in，beh帶in到耶路撒冷，beh用歡喜、感謝、唱歌、khau鈸、彈瑟，彈琴行奉獻ê禮。
尼希米記 12 28| 唱歌ê tùi耶路撒冷四圍ê平洋，kap tùi Nî-tô-hoat ê鄉社來聚集；
尼希米記 12 29| koh tùi Pek-kiat-kah，也tùi Ka-pa kap Ap-má-hut ê田來；因為唱歌ê，tī耶路撒冷四圍為家己建立鄉社。
尼希米記 12 30| 祭司利未人清氣家己也清氣百姓，以及城門城牆。
尼希米記 12 31| 我chhōa猶大hiah-ê首領上城牆頂，分o-ló感謝ê做兩大隊；一隊tī城頂tùi chiàⁿ-pêng ǹg糞埽門去；
尼希米記 12 32| Tè tī in ê後面ê有Hô-sa-ngá，kap猶大首領ê一半；
尼希米記 12 33| koh有A-sat-lī-ngá、Í-su-la̍h、Bí-su-lân，
尼希米記 12 34| 猶大、便雅憫、Sī-má-ngá、耶利米；
尼希米記 12 35| koh有祭司ê kiáⁿ kúi-nā人kia̍h號頭ê，約拿單ê kiáⁿ撒迦利亞，約拿單是Sī-má-ngá ê kiáⁿ，Sī-má-ngá是Má-tha-nî ê kiáⁿ，Má-tha-nî是Bí-kai-a ê kiáⁿ，Bí-kai-a是Sat-khek ê kiáⁿ，Sat-khek是A-sat ê kiáⁿ；
尼希米記 12 36| kap伊ê兄弟Sī-má-ngá、A-sat-lī、Bí-la̍h-lâi、Ki-la̍h-lâi、Má-ai、Ná-thán-gia̍p、猶大、Hap-ká-nî，lóng the̍h上帝ê奴僕大衛ê樂器；經學士Í-su-la̍h做in ê頭前。
尼希米記 12 37| In tī水泉門ê對面，tùi大衛城ê崎á-chàn上去，就是上城牆ê所在，是大衛王宮ê頂面，ǹg東去到水門。
尼希米記 12 38| 第二隊o-ló感謝ê人beh行去kap hit一隊相tú-tio̍h，我kap百姓ê一半跟tè in，tī城牆頂經過火爐ê樓，到寬闊ê城牆，
尼希米記 12 39| koh過Í-hoat-liân ê門，舊ê門，魚ê門，Hap-lâm-gia̍p ê樓，Hap-bí-a ê樓，到羊門，就停腳khiā tī護衛ê門。
尼希米記 12 40| Tùi án-ni，chit兩隊o-ló感謝ê人，khiā tī上帝ê殿，連我kap官長ê一半也tī-hia khiā；
尼希米記 12 41| iáu有祭司Í-lī-a-kim、Má-se-ngá、Bí-ná-bîn、Bí-kai-ngá、Í-lī-iok-nái、撒迦利亞、Hap-lâm-nî-a，lóng kia̍h號頭；
尼希米記 12 42| koh有Má-se-ngá、Sī-má-ngá、Í-lī-a-sat、O͘-se、Iok-hap-lân、Má-ki-ngá、Í-lân，kap Í-siā。唱歌ê kap in ê頭人Í-su-la̍h-hi-ngá lóng大聲唱。
尼希米記 12 43| Hit日眾人獻大祭祀koh歡喜；因為上帝hō͘ in大歡喜快樂；婦人人kap gín-ná也lóng歡喜，致到耶路撒冷歡喜ê聲聽到遠遠。
尼希米記 12 44| 當hit日，派人管理庫房，為tio̍h貨財，舉祭ê物，起頭熟ê；kap所取ê十份一，tùi ta̍k-ê城ê田畝，照律法所定tio̍h收來供給祭司kap利未人ê份額，lóng khǹg tī hit內面。猶大人因為祭司kap利未人擔當職就歡喜。
尼希米記 12 45| In守in ê上帝所交代ê，也守所交代in清氣ê例；唱歌ê，顧門ê，也án-ni做，照大衛kap伊ê kiáⁿ所羅門ê命令。
尼希米記 12 46| 因為早tī大衛kap A-sat ê日有樂工管理唱歌ê，以及o-ló感謝上帝ê詩歌。
尼希米記 12 47| 當Só͘-lô-pa-pek ê日，kap尼希米ê日，以色列眾人將ta̍k日應該ê份額，供給唱歌ê，顧門ê，也分別物做聖來供給利未人；利未人也分別物做聖來供給亞倫ê kiáⁿ孫。
尼希米記 13 1| Hit日人讀摩西ê冊hō͘百姓聽，tú-tio̍h冊內有記講，A-bûn人kap Mô͘-ap人永遠bōe得thang入上帝ê會；
尼希米記 13 2| 因為in無用食物kap水，來迎接以色列人，反tńg chhiàⁿ Pa-lân來咒詛in；總是阮ê上帝hō͘ hit-ê咒詛變做祝福。
尼希米記 13 3| In聽見律法了後，就tùi以色列中分開hiah-ê十族ê人。
尼希米記 13 4| Chit-ê tāi-chì以前，管理阮上帝殿內ê房間ê祭司Í-lī-a-si̍t kap To-pí-ngá結盟；
尼希米記 13 5| 就為tio̍h伊備辦一間大間房。前tī hit間收khǹg素祭、乳香、器具，kap照例供給利未人，唱歌ê，顧門ê，五穀、新酒，kap油ê十份一，kap歸hō͘祭司舉祭ê物。
尼希米記 13 6| 當hit時，我無tī耶路撒冷；因為巴比倫王A-ta̍t-siat-se三十二年，我oat去王hia；過kúi-nā日我對王告假。
尼希米記 13 7| 我到耶路撒冷就知Í-lī-a-si̍t 為 To-pí-ngá所行ê pháiⁿ-tāi，tī上帝殿ê院內，為伊備辦一間房。
尼希米記 13 8| 我就真擘腹(peh-pak)，將To-pí-ngá一切ê 家器，lóng tùi房內hiat出去；
尼希米記 13 9| 我出命令，人就清氣hiah-ê房間；然後我將上帝殿內ê器具，kap素祭，乳香，koh搬入來。
尼希米記 13 10| 我也知利未人所應該得tio̍h ê份額無hō͘ in，致到擔當職ê利未人，kap唱歌ê，ta̍k-ê tò去in ê田園。
尼希米記 13 11| 我就出力責備hiah-ê官長，kā in講，上帝ê殿啥事放荒廢ah？我就聚集利未人，復到in ê原任。
尼希米記 13 12| Tùi án-ni，猶大ê眾人將五穀、新酒，kap油ê十份一，帶入庫房。
尼希米記 13 13| 我設立祭司Sī-lī-bí-ngá，經學士Sat-tok，kap利未人Pí-tāi-ngá做庫房ê官，管理庫房；副官是哈蘭，哈蘭是Sat-khek ê kiáⁿ，Sat-khek是Má-tha-nî ê kiáⁿ；因為看chit kúi人是盡忠；in ê職份是分發物hō͘ in ê兄弟。
尼希米記 13 14| 我ê上帝ah，求你因為chit-ê事tio̍h記念我，莫得擦消我為tio̍h上帝ê殿，kap其中hiah-ê典禮，所行ê好事。
尼希米記 13 15| 當hiah-ê日我tī猶大看見人tī安歇日踏酒窟，搬稻綑，koh hō͘驢載；koh用酒、葡萄、無花果，kap ta̍k樣ê擔，tī安歇日擔入耶路撒冷；我就tī in賣食物hit日，責備in。
